review,aspects,scores,sentiment,sentiment_score
Trip Verified  Check  was fine but  priorityfast track lines for security  boarding There  only one lounge option for first class customers  Mexico City which  the American Airlines admirals club which  abysmal There   free bar serving cheap alcohol   awfu,"['lounge experience', 'customer service', 'staff attitude']","[0.8353819251060486, 0.8105669021606445, 0.40507757663726807]",negative,0.6343406438827515
Trip Verified  British Airways  absolute rubbish  had  fly  Amsterdam for  urgent appointment The flight was cancelled last minute presumably due  bad weather Theyve kept   the gate saying the plane couldnt land while literally every plane from that airpor,"['staff attitude', 'booking problems', 'flight delays']","[0.9894656538963318, 0.9195822477340698, 0.8963901400566101]",negative,0.9362934827804565
Trip Verified  The flight time was changed  the last minute without warning and  assistance was provided  the ground staff  party agents regarding the impact for the delay nor was any help forthcoming from the phoneline Nobody  the airline wants  take resp,"['flight delays', 'staff attitude', 'customer service']","[0.9495242834091187, 0.8413483500480652, 0.7023712396621704]",negative,0.878360390663147
Trip Verified      fraustrated  flight was cancelled last minute which wasnt the end  the world even though the earliest  could get rebooked was three days later Its the insane saga  events that proceeded  claim the compensation that  legally entitled  acc,"['booking problems', 'flight delays', 'customer service']","[0.9904032349586487, 0.9845555424690247, 0.6201173067092896]",negative,0.7635684609413147
Trip Verified   have sat  this plane for  hour and forty five minutes awaiting takeoff due  bad weather  London This  understandable for safety Fortunately  have  long layover  this delay does not affect  However many others are not  lucky While waiting  w,"['flight delays', 'lounge experience', 'customer service']","[0.9964853525161743, 0.3985038101673126, 0.12327804416418076]",negative,0.6191031336784363
Not Verified   British Airways stranding  wife and   Heathrow Airport for  days with  access  our baggage   told  airline employees  purchase any necessities toiletries refreshments etc and wed  reimbursed That claim was denied with  claiming that weather ,"['baggage issues', 'staff attitude', 'customer service']","[0.9850761890411377, 0.9709389209747314, 0.7546505331993103]",negative,0.7860015630722046
Trip Verified    Although like many these days  avoid   long haul from London Heathrow due   perception  poor service and lack  customer services  things  wrong  was pleasantly surprised   recent flight  Belfast The aircraft actually left  time and arrived,"['customer service', 'flight delays', 'staff attitude']","[0.8819884061813354, 0.8795329928398132, 0.8399386405944824]",neutral,0.4706591069698334
Trip Verified  This flight was British Airways  its very best The flight attendants were outstanding  processional attentive and helpful The food was very good and the seatlie flat bed was very comfortable  love  smart design  the  Club World cabin Wonderf,"['customer service', 'staff attitude', 'food quality']","[0.9923220276832581, 0.9838261604309082, 0.9707484841346741]",positive,0.9846028089523315
Not Verified  The worst airline  have ever flown with They cancelled  flight  hours before departure and didnt even contact  They didnt put    new flight   had  rebook myself for the next day  and  was also left  find  own accommodation which was  nightmar,"['staff attitude', 'booking problems', 'flight delays']","[0.9927318692207336, 0.991552472114563, 0.9865255951881409]",negative,0.9295288324356079
Trip Verified    Disappointing service plane interior and terribly incompetent customer service  booked  flight directly through BAs website Soon after  started  get emails saying  selected seats  paid extra for the selection had been changed   without any,"['staff attitude', 'booking problems', 'customer service']","[0.9858267307281494, 0.9819455146789551, 0.9432013630867004]",negative,0.9170170426368713
Trip Verified     transit visa  required for  partner  transit via London  Iceland   had  buy  separate ticket for her via another airline When  reach Iceland  emailed British Airways telling then she wont  using her return ticket and requested for  partia,"['booking problems', 'customer service', 'staff attitude']","[0.9667044281959534, 0.892441987991333, 0.7985064387321472]",neutral,0.8683066368103027
Trip Verified     was surprised  receive confirmation preflight that  had  kgs luggage allowance This   later confirmed  one    checked  another  kgs carry  for under seat and  third  kgs carry  for overhead stowage Checkin opened  bit late and the line fo,"['baggage issues', 'customer service', 'staff attitude']","[0.8790096640586853, 0.7498306035995483, 0.33681172132492065]",neutral,0.8228632807731628
Trip Verified    Flight cancelled not refunding our money saying  took the flight that never happened Not refunding the new flights  booked hotels food while  were stranded Did not provide food  water while waiting for hours  tarmac Will not provide inform,"['staff attitude', 'flight delays', 'booking problems']","[0.9902070164680481, 0.9826817512512207, 0.9510393738746643]",negative,0.9048798084259033
Trip Verified     had visa issues and hence was debarred from flying The ground staff  Mumbai was excellent  woman named Brinelle was very helpful and understanding  had  rebook  tickets and while the original journey was consisting   legs  forced   rebook,"['customer service', 'booking problems', 'staff attitude']","[0.9783068299293518, 0.967143714427948, 0.938452422618866]",neutral,0.5502811670303345
Trip Verified    Singapore  Heathrow with  Two choices  this route     economy and premium and first there isnt much    club world the  wins   has the suite Check  was easy Security and passport control  Singapore  efficient Choice   lounges  Qantas  Qatar,"['lounge experience', 'customer service', 'seat comfort']","[0.9664557576179504, 0.9477680921554565, 0.5377721190452576]",neutral,0.6618083715438843
Trip Verified     recently travelled from Munich  London with British Airways and  turned into  absolute nightmare Our troubles began with their malfunctioning app Despite checking  successfully  was unable  retrieve our boarding passes Upon arrival  the a,"['customer service', 'booking problems', 'flight delays']","[0.9459448456764221, 0.9361594319343567, 0.8904236555099487]",negative,0.8921270370483398
Not Verified    paid for seats   and    flight from Heathrow  Boston  the  paying for premium economy seats Upon arrival  the airport the ticket agent said  was not healthy enough  sit  the purchased seats due  being too old  presume  since there   other r,"['booking problems', 'staff attitude', 'customer service']","[0.9962685704231262, 0.9842873811721802, 0.877273440361023]",negative,0.4992409646511078
Not Verified  The flight wasnt that bad although the Inflight entertainment wasnt great the screen was very oldfashioned  was hard  operate  the dark  the touch screen wasnt working  times There was though  remote The cabin crew slamming air larders ovens ,"['staff attitude', 'flight delays', 'customer service']","[0.48655202984809875, 0.18795493245124817, 0.13856709003448486]",negative,0.8176432251930237
Trip Verified    decided  treat myself and  teenage daughter  World Traveller Plus  the return leg  our Canada holiday paying hundreds  pounds extra    only  end  spending nine and  half hours trapped   broken seat staring   blank screen after both our ent,"['booking problems', 'flight delays', 'staff attitude']","[0.9929862022399902, 0.9258642792701721, 0.7909103631973267]",negative,0.5775994658470154
Not Verified    was very impressed with their efficient boarding the relatively compared  Air Canada comfortable seats and the quality  the food Drinks and snacks frequently offered Overall   fuss  bother experience,"['seat comfort', 'food quality', 'customer service']","[0.9719395637512207, 0.9484288096427917, 0.9332354068756104]",positive,0.9088771343231201
Not Verified   The flight scheduled   left hours  minutes alter due  late arrival  incoming aircraft from Naples   result  missed  connection from Istanbul  Dubai Nothing unusual The issue acknowledged  the captain  that the plane had been late since the m,"['flight delays', 'booking problems', 'staff attitude']","[0.9914296269416809, 0.6670598387718201, 0.604133665561676]",negative,0.7374354004859924
Trip Verified     have been flying  for over  years  was  American Airlines  and gave   for     Gold member   and have been for over  years Here are the things  have noticed over the last  years   the Flight attendants are getting lazier and complacent fro,"['staff attitude', 'customer service', 'lounge experience']","[0.9530929923057556, 0.1501675546169281, 0.06453828513622284]",neutral,0.7390884160995483
Trip Verified     arriving  Mexico Airport  were told that the flight was delayed because the aircraft had broken down and the replacement aircraft from LHR was about six hours late When  eventually managed  check   told that  contrary  the  website   coul,"['flight delays', 'booking problems', 'staff attitude']","[0.9978509545326233, 0.9944051504135132, 0.9924681782722473]",neutral,0.5039059519767761
Trip Verified     have flown British Airways for many years and still   regularly  one   last flights this past summer between Paris and Boston British booked    connecting flight between Paris and London that gave   maximum   minutes  connect  London Lond,"['customer service', 'booking problems', 'staff attitude']","[0.8454082012176514, 0.33917614817619324, 0.2809179425239563]",neutral,0.7302325367927551
Not Verified   bought tickets for  GenevaLondon flight but when  got  the airport  were told that the airline had oversold tickets  our flight and that passengers   earlier cancelled flight had been given seats  our flight Explanation   allowed,"['booking problems', 'staff attitude', 'customer service']","[0.9977668523788452, 0.9828921556472778, 0.9189609885215759]",neutral,0.5231229662895203
Trip Verified    Appalling service with failing defective fleet   aircraft Flown four times  this route  return and significant delays     hours every time  boarded    October Flight cancelled for technical reasons Six hours  return through customs and rec,"['flight delays', 'staff attitude', 'booking problems']","[0.9926826357841492, 0.9386362433433533, 0.6133225560188293]",negative,0.9310557246208191
Trip Verified  British Airways charge you for the pleasure  choosing your seat and  had been put  the very back  Club which turned out    advantage because  meant  could get  the seat without having  climb over anybody The seat was clean but   later discov,"['customer service', 'seat comfort', 'lounge experience']","[0.8374750018119812, 0.8052812814712524, 0.6899139881134033]",neutral,0.5583760738372803
Trip Verified  What  wrong with you guys People pay lots  money for  business class ticket but you sit squeezed into  seat with  legroom nothing  clean the overhead lockers are empty and they want you  put your bag under the seat  that you have  room for y,"['staff attitude', 'booking problems', 'baggage issues']","[0.9952558875083923, 0.9940725564956665, 0.9734978079795837]",negative,0.8742082715034485
Trip Verified     booked two business class seat with British Airways  July  for the flight  September    were told  September   the Heathrow Airport that our flight was cancelled and  could only have one business seat with another flight   different airpo,"['booking problems', 'staff attitude', 'customer service']","[0.9942747354507446, 0.9800692200660706, 0.932123064994812]",neutral,0.656790554523468
Trip Verified  Ive flown with many airlines but  recent experience with British Airways left much   desired The inflight entertainment was underwhelming and  was disappointed  the lack  basic amenities such   comfort kit with essentials like eye masks Whil,"['seat comfort', 'customer service', 'staff attitude']","[0.5345896482467651, 0.49062609672546387, 0.36287060379981995]",negative,0.8188281059265137
Trip Verified     recently flew from New York back  London with  this wasnt  first long haul with them however  was  first time travelling  World Traveler Plus  boarded the aircraft  time and stress free and  first impression was good The cabin was clean a,"['customer service', 'seat comfort', 'lounge experience']","[0.9883750677108765, 0.9093382954597473, 0.8754776120185852]",positive,0.818334698677063
Not Verified     business class  Europe has  seat the same  economy you simply have  empty seat next  you and  for many the only true benefits are  flight meals lounge access and priority security etc The problem  this flight was  small child aged around f,"['lounge experience', 'seat comfort', 'booking problems']","[0.7108594179153442, 0.3469659090042114, 0.29642075300216675]",negative,0.6178600192070007
Trip Verified  Our flight started  Seattle  heading  Lisbon Portugal After   hour flight and   hour layover  boarded flight   Lisbon After heading  the runway the plane stopped and the pilot said  have  small mechanical issue and  mechanic   route After  h,"['flight delays', 'customer service', 'staff attitude']","[0.9829116463661194, 0.8756906986236572, 0.3209828734397888]",neutral,0.8378461003303528
Trip Verified    British Airways Flight from Edinburgh got delayed     Min and there was  connecting flight part  same ticket   have literally run for next connecting flight  British Airways from LHR  Delhi   bonus trouble   surprise when  landed  Delhi  g,"['flight delays', 'customer service', 'booking problems']","[0.9940950274467468, 0.8591249585151672, 0.832146167755127]",negative,0.8166704773902893
Trip Verified    British Airways World Traveller Plus Premium Economy product needs some improvement  justify the high cost over economy Yes the seat and leg room are far superior and  this flight the crew were excellent However lunchdinner was only averag,"['customer service', 'seat comfort', 'staff attitude']","[0.7620103359222412, 0.6924931406974792, 0.6428651809692383]",positive,0.6301130652427673
Trip Verified      barely  step above low cost airlines They try  dime and nickel everywhere possible  now found out that you cannot select  seat  check  anymore when you have  baggage Next time   with low cost carrier since there  virtually  difference an,"['baggage issues', 'staff attitude', 'booking problems']","[0.9952812194824219, 0.7936656475067139, 0.7612902522087097]",negative,0.7407934665679932
Not Verified   Happy with the flight crew Hadnt been   plane   years and was stressed out They made  comfortable for  and  want  say thank you  the flight crew for helping  relax    back  France again  going British Airways,"['customer service', 'staff attitude', 'seat comfort']","[0.9879502058029175, 0.9760620594024658, 0.9528776407241821]",positive,0.8171952366828918
Trip Verified    Horrible service from boarding  landing  flew from London  Marrakech and was very disappointed with the arrangement for boarding  food  horrible the staff are arrogant   and the seats are super uncomfortable for  hmin flight business class,"['staff attitude', 'customer service', 'seat comfort']","[0.9945799112319946, 0.9771488308906555, 0.6397725939750671]",negative,0.9432708621025085
Not Verified    wife and  are very disappointed with flying  British Airways Our flight   was cancelled while all other airlines were flying  addition our seats changed multiple times without any explanation The people working were very rude and not  all c,"['staff attitude', 'booking problems', 'flight delays']","[0.9986288547515869, 0.9932299852371216, 0.9903433918952942]",negative,0.923386812210083
Not Verified    flew  between Heathrow and Berlin one way connection Our experience with  ground staff  Heathrow was very good friendly and helpful  check  and baggage drop off The crew  our flight were also very good Captain provided some general informat,"['customer service', 'staff attitude', 'baggage issues']","[0.9925650954246521, 0.9831532835960388, 0.9590350985527039]",positive,0.8596364259719849
Not Verified   Absolutely disgusted with  Our flights were cancelled   May   even though the flight still departed  had  connecting flight from Manchester  Heathrow which was cancelled due  weather  could not get compensation for that flight But now  turns,"['flight delays', 'booking problems', 'staff attitude']","[0.9962666034698486, 0.9852640628814697, 0.7577527761459351]",negative,0.9089487195014954
Not Verified  Took  trip  Nashville with  wife for  leisure break Arrived   and directed  the Club World check  zone  the left  the terminal Zone seemed way too small for the number  passengers and the check  process was painfully slow Queues for non premi,"['staff attitude', 'customer service', 'baggage issues']","[0.7611732482910156, 0.587107241153717, 0.28065982460975647]",negative,0.7888585925102234
Not Verified    nightmare journey courtesy  British Airways Our worst flight experience  over  years  flying   were booked   scheduled  depart Heathrow     Sept   boarded  hrs late because despite the plane being  the gate  had  wait for  crew  arrive Appr,"['booking problems', 'flight delays', 'staff attitude']","[0.9902653694152832, 0.9877486824989319, 0.8272884488105774]",negative,0.916694700717926
Trip Verified  Absolutely atrocious LHRORDLHR Roundtrip British Airways  truly  disgrace  our national airline With only eight seats  First Class you would think they could provide  genuine white glove experience Instead the crew  First Class both ways wer,"['staff attitude', 'seat comfort', 'booking problems']","[0.7402186989784241, 0.2959539294242859, 0.28299546241760254]",negative,0.9237123727798462
Trip Verified   someone who flies relentlessly with British Airways for business and pleasure generally for the routing and who   Gold frequent flier weve come  accept the shocking food service exorbitant prices and outdated planes When you get   plane the,"['customer service', 'staff attitude', 'lounge experience']","[0.45834729075431824, 0.34757760167121887, 0.3429763615131378]",neutral,0.5751095414161682
Trip Verified    Flew with British Airways club Europe  Saturday  August Poor lounge  Berlin Brandenburg airport Emailed  say that flight was delayed with  explanation and  announcement made Staff  lounge had not been told  delay and airport info screens w,"['flight delays', 'staff attitude', 'lounge experience']","[0.9037525057792664, 0.8639487624168396, 0.698935329914093]",neutral,0.5594977736473083
Trip Verified    Straightforward check   New site for club check  and  works well All lounges busy but good food offerings  time departure for  completely full flight  all cabins Sound food and drink offered with the exception  inferior quality champagne C,"['customer service', 'lounge experience', 'food quality']","[0.8823960423469543, 0.8447966575622559, 0.8257992267608643]",positive,0.9113307595252991
Not Verified    beyond upset and disgusted with the disregard lack  knowledge and lies that your company has put  through Each call  have had with  different representative has lead   help nothing being resolved and false information Due   longer being abl,"['staff attitude', 'customer service', 'booking problems']","[0.9853977560997009, 0.9333462119102478, 0.7979428172111511]",negative,0.9390771389007568
Trip Verified     purchased round trip direct flight business class ticket for  family from Hong Kong  London  few days before the trip the airline cancelled our return flight without giving any reasons and booked    flight routing via Doha which gave   ho,"['booking problems', 'staff attitude', 'customer service']","[0.9924126863479614, 0.962360143661499, 0.8587484359741211]",negative,0.5330420136451721
Not Verified   booked two business class seats  had  medical emergency and couldnt make the first leg  the trip  then wanted  rebook  outgoing flight but were told that the entire travel was cancelled Cost   course  know that  turned around and resold the ,"['booking problems', 'flight delays', 'staff attitude']","[0.9811261892318726, 0.9051069617271423, 0.9004184603691101]",negative,0.7378726005554199
Not Verified  Although all four flights were delayed the service offered   was exceptional The food and drink offered  the domestic and international sectors was extremely good  was the attention  the cabin crew Some disorganised boarding  return from Newa,"['customer service', 'flight delays', 'food quality']","[0.9881410002708435, 0.9862123131752014, 0.9542098045349121]",positive,0.5228735208511353
Trip Verified    Flight changed just one day before from British Airways  Titan Flight delayed  hours  meal served and  entertainment Again the flight changed  Titan for the way back,"['flight delays', 'customer service', 'booking problems']","[0.9944939017295837, 0.9359791874885559, 0.9050182104110718]",neutral,0.6304783225059509
Not Verified  Delayed flight  hour Arbitrary cancellation  paid for reserved seats   response  formal complaint  explanation Flight back  London cancelled giving  days notice  reason given Alternative flight offered two days later Travelling with son and d,"['flight delays', 'booking problems', 'customer service']","[0.9952977299690247, 0.9368429780006409, 0.9250006079673767]",negative,0.8048025965690613
Not Verified  Flown with  four times   anxious traveller  cant recommend them enough Constant updates from the pilot  there are delays and the cabin crew are brilliant every time Will always use   the future,"['flight delays', 'customer service', 'lounge experience']","[0.9885032773017883, 0.9066900610923767, 0.4487878084182739]",negative,0.578946053981781
Trip Verified    You may never see your refund  cancelled  return flight and they sent  refund  Pakistan and told   must have  Pakistani credit card  forgot  used  purchase  flight Took  calls for them  admit this Pakistan card wasnt mine and they sent som,"['booking problems', 'staff attitude', 'customer service']","[0.9751285314559937, 0.9718005657196045, 0.8220515847206116]",negative,0.6641022562980652
Not Verified  Cargo service thats how  felt  the  upper deck supposedly nicer than the main deck for business but packed   the  configuration head  tail   loves  configure its seats  make more money  failed  enjoy business class  feel like  was worth the m,"['seat comfort', 'booking problems', 'baggage issues']","[0.7219060063362122, 0.6806246638298035, 0.5357705354690552]",neutral,0.48066434264183044
Trip Verified  Inefficient and slow airport operation Resting  their laurels Many staff standing around doing very little  Terminal  yet not completing their basic tasks   had  return three times for them  properly  the document check Fees  bad  Ryanair fo,"['staff attitude', 'customer service', 'lounge experience']","[0.9719687700271606, 0.27564290165901184, 0.14935971796512604]",negative,0.7908226251602173
Not Verified   The customer service  one  the worst  have ever seen They will scheme and give you untruths  were not allowed  our original flight because  some technical issue  their end and had  call the airline because they could not  anything  the count,"['staff attitude', 'customer service', 'booking problems']","[0.9984377026557922, 0.9963275790214539, 0.9888906478881836]",negative,0.9178394079208374
Not Verified  Before  flight  was forced  the ground staff  check   new expensive cabin luggage despite the fact that  met all size requirements  was informed that the plane was full and assured  staff that  luggage would  well taken care  Unfortunately wh,"['baggage issues', 'staff attitude', 'booking problems']","[0.9984902739524841, 0.9968979954719543, 0.9270519614219666]",neutral,0.5407910346984863
Trip Verified    British Airways  its best Outstanding service from the flight attendants Dinner very good though breakfast could  better Excellent IFE The lie flat seat  extremely comfortable  very pleasant flight  board,"['customer service', 'food quality', 'seat comfort']","[0.9958399534225464, 0.9853255748748779, 0.981030285358429]",positive,0.9822272658348083
Trip Verified   excellent flight Despite this being   hour flight    that  configured for short hops  Edinburgh  Glasgow and despite there being  IFE  ended  really enjoying the flight  dont know   was just that  had really low expectations but  thought th,"['customer service', 'seat comfort', 'lounge experience']","[0.8292181491851807, 0.6395332217216492, 0.6051515340805054]",positive,0.9654009342193604
Trip Verified   recently traveled with British Airways and had  mixed experience Booking and Checkin The booking process was straightforward but our experience  the baggage counter was frustrating While  were  line the three employees  the counter took  mi,"['baggage issues', 'staff attitude', 'booking problems']","[0.9938235282897949, 0.9723291397094727, 0.9612513184547424]",negative,0.5694436430931091
Trip Verified     family and  were booked  leave London for Hong Kong   August After having been made  wait  the airport for  hours  were told  midnight that our aircraft had bee struck  lightning and our flight was cancelled Everyone was sent home  had  s,"['booking problems', 'flight delays', 'staff attitude']","[0.998059093952179, 0.9941413402557373, 0.9868030548095703]",neutral,0.5264723896980286
Not Verified    had  change from    for  flight  London because   missed connection The flight was  but  the process our bags were delayed  waited for  days  our destination reading regular unhelpful updates from  about receiving our luggage and finally ha,"['baggage issues', 'flight delays', 'booking problems']","[0.9984815120697021, 0.9891422986984253, 0.987640917301178]",negative,0.8420665264129639
Trip Verified  After paying  for tickets for  family including having  pay over  just  sit together   were traveling with kids they ran out  chicken dinners  kids are picky and wont eat vegetarian curry  dont mind the curry  fact  thought  was pretty good ,"['booking problems', 'customer service', 'lounge experience']","[0.9048670530319214, 0.88840651512146, 0.40798136591911316]",neutral,0.5317220687866211
Trip Verified   excellent flight   CityFlyer The plane was clean comfortable and spacious Crew were friendly and  was very pleasantly surprised   offered  choice  complimentary alcoholic beverages  this one hour flight Departure was ontime and  appreciated,"['customer service', 'staff attitude', 'seat comfort']","[0.9956648945808411, 0.9881049990653992, 0.9830463528633118]",positive,0.9839333295822144
Trip Verified    Crew were amazing and attentive nothing was missed out  them Will definitely choose   the future Also have  praise the food The choice was sufficient and delicious for  short business flight,"['food quality', 'customer service', 'staff attitude']","[0.9962731003761292, 0.9941036105155945, 0.9740102887153625]",positive,0.9819069504737854
Not Verified    flew internationally for the first time   life and because   delay  their end missed  connecting flight   destination When  asked for help ahead  time  was told  run  the next gate Needless  say  missed  flight There were three British Airw,"['staff attitude', 'customer service', 'flight delays']","[0.9845402240753174, 0.8755921125411987, 0.8603776097297668]",negative,0.7929204106330872
Trip Verified   after subsequent delays and postponed departure times from the initial     passengers had been gathering  the already assigned gate crew was ready  board and aircraft ready outside decided  cancel the flight Reason provided over the interco,"['flight delays', 'booking problems', 'customer service']","[0.9865210652351379, 0.9842826128005981, 0.9121264815330505]",neutral,0.5960521697998047
Not Verified      embarrassing  have the word British attached  this airline The service was substandard  every way with the possible exception  food and  couple  stand out staff  can accept delays and technical problems they happen How they handled  was  ,"['staff attitude', 'flight delays', 'customer service']","[0.8629695177078247, 0.854263424873352, 0.7954807877540588]",negative,0.9168562889099121
Trip Verified  Flight cancelled due  bad weather  contacted   email immediately and provided  alternative booking  well   link  their suggestion for  different flight wasnt convenient Clicked  the link and was assisted promptly   service rep who rebooked  ,"['customer service', 'flight delays', 'booking problems']","[0.994334876537323, 0.9919926524162292, 0.9887832999229431]",negative,0.7021148800849915
Trip Verified   British Airways oversold  LHR  LAX flight  booked months  advance paid  full and actually paid over  extra  fly their Airbus  Tried  check  online day before flight got unknown system error couldnt check  Arrived  LHR  hours early none   ki,"['booking problems', 'customer service', 'staff attitude']","[0.9814863801002502, 0.8046163320541382, 0.6259228587150574]",negative,0.6475393176078796
Trip Verified    travelled London  Doha  July   had  physically check    Business  because  had  ongoing connection  Doha and the flight was  code share with Qatar  had paid for  flight through Qatar and paid for the seat online   could sit where  like  si,"['seat comfort', 'lounge experience', 'customer service']","[0.9603369832038879, 0.6012765169143677, 0.5655494928359985]",neutral,0.9180022478103638
Trip Verified   When dropping off  luggage  the luggage drop off  Toulouse airport  had  travel pram confiscated from  and  was forced  take  sleeping  year old   arms while traveling alone with him    was told  the staff outsourced  British Airways  check,"['staff attitude', 'baggage issues', 'customer service']","[0.9724276065826416, 0.9703455567359924, 0.9204558730125427]",neutral,0.5185369253158569
Trip Verified   you cant fly First Class dont fly British Airways VERY uncomfortable seats You cant even get out  your seat when the person  front has their seat reclined and who doesnt need  recline their seat You cant pick  ANYTHING off the floor during ,"['booking problems', 'seat comfort', 'staff attitude']","[0.9039191007614136, 0.7957508563995361, 0.3609888255596161]",negative,0.8861485123634338
Not Verified    Singapore  Heathrow Business class      Premium Economy Plus experience From the economy class sized toilets  the badly designed coffin shaped Business class pods  the experience   substandard business class experience Business class pods s,"['booking problems', 'customer service', 'staff attitude']","[0.9154135584831238, 0.500371515750885, 0.4979485273361206]",negative,0.763568639755249
Not Verified     reported  damagedruined suitcase  weeks ago and  still awaiting  reply Ill think twice about booking with  again  the Customer Service  shocking  say the least Ive followed  with British Airways with  least  emails per week requesting  upd,"['baggage issues', 'booking problems', 'staff attitude']","[0.9893098473548889, 0.9865131974220276, 0.9827802181243896]",negative,0.9144949316978455
Not Verified     March   flew from Berlin   Paulo with  but encountered several issues  first flight was delayed  several hours causing   miss  connection  London Heathrow Upon arriving  the airport after midnight  was given  hotel voucher However the hote,"['flight delays', 'booking problems', 'staff attitude']","[0.9957135915756226, 0.9869953393936157, 0.9510666131973267]",negative,0.6658249497413635
Not Verified  The WORST customer experience British Airways   effectively robbing people They are not here  help and show  compassion  partner and  fell ill and had  doctors note stating  couldnt fly  said theyd hold our flight amount   voucher valid for  ,"['staff attitude', 'booking problems', 'customer service']","[0.9936786890029907, 0.8524408340454102, 0.7212971448898315]",negative,0.9353002905845642
Not Verified    Had  cancel  flight months  advance due   change  schedule  was flying with American Airlines and British Airways Selected seats and when  attempted  get  refund  the selected seats  refunded  with  issue when  refused despite both companie,"['booking problems', 'customer service', 'staff attitude']","[0.9978398084640503, 0.9380465745925903, 0.9225821495056152]",negative,0.7699235677719116
Trip Verified  Flight cancelled with  reason given less than   before departure The earliest offered replacement  their terrible  use app was  days later which was unacceptable Their phone lines  not work and would reject your call due  being overwhelmed E,"['flight delays', 'booking problems', 'staff attitude']","[0.9769176244735718, 0.9745507836341858, 0.9276437163352966]",negative,0.9244241118431091
Trip Verified  This   route  fly regularly Used first class security and lounge all good Lounge surprisingly not  busy Was great  see  werent departing from the dreaded  bus gate and the flight was  time Boarded and ready    time and then Six passengers we,"['lounge experience', 'customer service', 'seat comfort']","[0.971555769443512, 0.9509466886520386, 0.5858961343765259]",positive,0.9179825186729431
Trip Verified   While  may have made some positive improvements  its Club World product its World Traveler product and catering leaves much   desired The first meal service was very slow more than  hours  serve the meal The portions were incredibly small  ,"['food quality', 'customer service', 'staff attitude']","[0.8970583081245422, 0.8824810981750488, 0.7955788969993591]",negative,0.6764240264892578
Trip Verified  British Airways new Club Suite   marked improvement from their older Club World seats The new Club Suite offers  fair amount  privacy especially with the screen door closed and includes direct aisle access When fully reclined the seat conver,"['seat comfort', 'customer service', 'lounge experience']","[0.9646693468093872, 0.8093514442443848, 0.49330541491508484]",positive,0.8726046681404114
